Average Days In Status	Date
18.20833333333333333	8/29/16
17.2	8/30/16
17.7	8/31/16
16.2	9/1/16
16.73076923076923077	9/2/16
17.03846153846153846	9/3/16
17.03846153846153846	9/4/16
18	9/5/16
18.92	9/6/16
18.875	9/7/16
18.86956521739130435	9/8/16
19.82608695652173913	9/9/16
20.04347826086956522	9/10/16
20.04347826086956522	9/11/16
20	9/12/16
21.19047619047619048	9/13/16
17.95238095238095238	9/15/16
17.1	9/16/16
17.3	9/17/16
17.3	9/18/16
16.45	9/19/16
17.4	9/20/16
18.35	9/21/16
17.84210526315789474	9/22/16
16.26315789473684211	9/23/16
16.42105263157894737	9/24/16
16.42105263157894737	9/25/16
15.72222222222222222	9/26/16
18.4375	9/27/16
16.3125	9/28/16
15.3125	9/29/16
13.11764705882352941	9/30/16
13.17647058823529412	10/1/16
13.17647058823529412	10/2/16
13.05555555555555556	10/3/16
9.27777777777777778	10/4/16
9.52631578947368421	10/5/16
10.72222222222222222	10/6/16
6.5	10/7/16
6.5	10/8/16
6.5	10/9/16
6.578947368421052632	10/10/16
7.315789473684210526	10/11/16
6.222222222222222222	10/12/16
7.352941176470588235	10/13/16
